group;name;otype;dclass;dim
/;annual;H5I_GROUP;;
/annual;areas;H5I_GROUP;;
/annual/areas;mcAll;H5I_GROUP;;
/annual/areas/mcAll;data;H5I_DATASET;FLOAT;1 x 99 x 18 x 1
/annual/areas/mcAll;structure;H5I_GROUP;;
/annual/areas/mcAll/structure;area;H5I_DATASET;STRING;18
/annual/areas/mcAll/structure;mcYear;H5I_DATASET;STRING;1
/annual/areas/mcAll/structure;reCalcVar;H5I_DATASET;STRING;300
/annual/areas/mcAll/structure;variable;H5I_DATASET;STRING;99
/annual/areas;mcInd;H5I_GROUP;;
/annual/areas/mcInd;data;H5I_DATASET;FLOAT;1 x 30 x 18 x 29
/annual/areas/mcInd;structure;H5I_GROUP;;
/annual/areas/mcInd/structure;area;H5I_DATASET;STRING;18
/annual/areas/mcInd/structure;mcYear;H5I_DATASET;FLOAT;29
/annual/areas/mcInd/structure;reCalcVar;H5I_DATASET;STRING;300
/annual/areas/mcInd/structure;variable;H5I_DATASET;STRING;30
/annual;attrib;H5I_DATASET;STRING;1
/annual;clusters;H5I_GROUP;;
/annual/clusters;mcAll;H5I_GROUP;;
/annual/clusters/mcAll;data;H5I_DATASET;FLOAT;1 x 4 x 114 x 1
/annual/clusters/mcAll;structure;H5I_GROUP;;
/annual/clusters/mcAll/structure;cluster;H5I_DATASET;STRING;114
/annual/clusters/mcAll/structure;mcYear;H5I_DATASET;STRING;1
/annual/clusters/mcAll/structure;reCalcVar;H5I_DATASET;STRING;300
/annual/clusters/mcAll/structure;variable;H5I_DATASET;STRING;4
/annual/clusters;mcInd;H5I_GROUP;;
/annual/clusters/mcInd;data;H5I_DATASET;FLOAT;1 x 4 x 114 x 29
/annual/clusters/mcInd;structure;H5I_GROUP;;
/annual/clusters/mcInd/structure;cluster;H5I_DATASET;STRING;114
/annual/clusters/mcInd/structure;mcYear;H5I_DATASET;FLOAT;29
/annual/clusters/mcInd/structure;reCalcVar;H5I_DATASET;STRING;300
/annual/clusters/mcInd/structure;variable;H5I_DATASET;STRING;4
/annual;inputs;H5I_GROUP;;
/annual/inputs;buildingcte;H5I_DATASET;STRING;1
/annual/inputs;cldesc;H5I_DATASET;STRING;1
/annual/inputs;layout;H5I_DATASET;STRING;1
/annual;links;H5I_GROUP;;
/annual/links;mcAll;H5I_GROUP;;
/annual/links/mcAll;data;H5I_DATASET;FLOAT;1 x 28 x 45 x 1
/annual/links/mcAll;structure;H5I_GROUP;;
/annual/links/mcAll/structure;link;H5I_DATASET;STRING;45
/annual/links/mcAll/structure;mcYear;H5I_DATASET;STRING;1
/annual/links/mcAll/structure;reCalcVar;H5I_DATASET;STRING;300
/annual/links/mcAll/structure;variable;H5I_DATASET;STRING;28
/annual/links;mcInd;H5I_GROUP;;
/annual/links/mcInd;data;H5I_DATASET;FLOAT;1 x 10 x 45 x 29
/annual/links/mcInd;structure;H5I_GROUP;;
/annual/links/mcInd/structure;link;H5I_DATASET;STRING;45
/annual/links/mcInd/structure;mcYear;H5I_DATASET;FLOAT;29
/annual/links/mcInd/structure;reCalcVar;H5I_DATASET;STRING;300
/annual/links/mcInd/structure;variable;H5I_DATASET;STRING;10
/annual;time;H5I_DATASET;COMPOUND;1
/;daily;H5I_GROUP;;
/daily;areas;H5I_GROUP;;
/daily/areas;mcAll;H5I_GROUP;;
/daily/areas/mcAll;data;H5I_DATASET;FLOAT;364 x 99 x 18 x 1
/daily/areas/mcAll;structure;H5I_GROUP;;
/daily/areas/mcAll/structure;area;H5I_DATASET;STRING;18
/daily/areas/mcAll/structure;mcYear;H5I_DATASET;STRING;1
/daily/areas/mcAll/structure;reCalcVar;H5I_DATASET;STRING;300
/daily/areas/mcAll/structure;variable;H5I_DATASET;STRING;99
/daily/areas;mcInd;H5I_GROUP;;
/daily/areas/mcInd;data;H5I_DATASET;FLOAT;364 x 30 x 18 x 29
/daily/areas/mcInd;structure;H5I_GROUP;;
/daily/areas/mcInd/structure;area;H5I_DATASET;STRING;18
/daily/areas/mcInd/structure;mcYear;H5I_DATASET;FLOAT;29
/daily/areas/mcInd/structure;reCalcVar;H5I_DATASET;STRING;300
/daily/areas/mcInd/structure;variable;H5I_DATASET;STRING;30
/daily;attrib;H5I_DATASET;STRING;1
/daily;clusters;H5I_GROUP;;
/daily/clusters;mcAll;H5I_GROUP;;
/daily/clusters/mcAll;data;H5I_DATASET;FLOAT;364 x 4 x 114 x 1
/daily/clusters/mcAll;structure;H5I_GROUP;;
/daily/clusters/mcAll/structure;cluster;H5I_DATASET;STRING;114
/daily/clusters/mcAll/structure;mcYear;H5I_DATASET;STRING;1
/daily/clusters/mcAll/structure;reCalcVar;H5I_DATASET;STRING;300
/daily/clusters/mcAll/structure;variable;H5I_DATASET;STRING;4
/daily/clusters;mcInd;H5I_GROUP;;
/daily/clusters/mcInd;data;H5I_DATASET;FLOAT;364 x 4 x 114 x 29
/daily/clusters/mcInd;structure;H5I_GROUP;;
/daily/clusters/mcInd/structure;cluster;H5I_DATASET;STRING;114
/daily/clusters/mcInd/structure;mcYear;H5I_DATASET;FLOAT;29
/daily/clusters/mcInd/structure;reCalcVar;H5I_DATASET;STRING;300
/daily/clusters/mcInd/structure;variable;H5I_DATASET;STRING;4
/daily;inputs;H5I_GROUP;;
/daily/inputs;buildingcte;H5I_DATASET;STRING;1
/daily/inputs;cldesc;H5I_DATASET;STRING;1
/daily/inputs;layout;H5I_DATASET;STRING;1
/daily;links;H5I_GROUP;;
/daily/links;mcAll;H5I_GROUP;;
