Topic;INI.Name;Tech.Name;Type;Default;Version;Category;Version.Antares;operating_format
Operating parameters;enabled;enabled;bool;True;8,1;renewable;810;enabled
General;group;group;str;;8,1;renewable;810;group
General;name;name;str;;8,1;renewable;810;name
Operating parameters;nominalcapacity;nominalCapacity;float;0.0;8,1;renewable;810;nominalcapacity
General;ts-interpretation;tsInterpretation;str;power-generation;8,1;renewable;810;ts.interpretation
Operating parameters;unitcount;unitCount;int;1;8,1;renewable;810;unitcount
Pollutant emission rates;nh3;nh3;float;0.0;8,6;thermal;860;nh3
Pollutant emission rates;so2;so2;float;0.0;8,6;thermal;860;so2
Pollutant emission rates;nox;nox;float;0.0;8,6;thermal;860;nox
Pollutant emission rates;pm2_5;pm25;float;0.0;8,6;thermal;860;pm2_5
Pollutant emission rates;pm5;pm5;float;0.0;8,6;thermal;860;pm5
Pollutant emission rates;pm10;pm10;float;0.0;8,6;thermal;860;pm10
Pollutant emission rates;nmvoc;nmvoc;float;0.0;8,6;thermal;860;nmvoc
Pollutant emission rates;op1;op1;float;0.0;8,6;thermal;860;op1
Pollutant emission rates;op2;op2;float;0.0;8,6;thermal;860;op2
Pollutant emission rates;op3;op3;float;0.0;8,6;thermal;860;op3
Pollutant emission rates;op4;op4;float;0.0;8,6;thermal;860;op4
Pollutant emission rates;op5;op5;float;0.0;8,6;thermal;860;op5
Operating costs;costgeneration;costGeneration;str;SetManually;8,7;thermal;870;costgeneration
Operating costs;efficiency;efficiency;float;100.0;8,7;thermal;870;efficiency
Operating costs;variableomcost;variableOMCost;float;0.0;8,7;thermal;870;variableomcost
General;name;name;str;;NA;thermal;NA;name
General;group;group;str;Other 1;NA;thermal;NA;group
Operating parameters;unitcount;unitCount;int;1;NA;thermal;NA;unitcount
Operating parameters;enabled;enabled;bool;True;NA;thermal;NA;enabled
Operating parameters;nominalcapacity;nominalCapacity;float;0.0;NA;thermal;NA;nominalcapacity
Operating parameters;min-stable-power;minStablePower;float;0.0;NA;thermal;NA;min.stable.power
Operating parameters;min-up-time;minUpTime;int;1;NA;thermal;NA;min.up.time
Operating parameters;min-down-time;minDownTime;int;1;NA;thermal;NA;min.down.time
Operating parameters;must-run;mustRun;bool;False;NA;thermal;NA;must.run
Operating parameters;spinning;spinning;float;0.0;NA;thermal;NA;spinning
Operating costs;marginal-cost;marginalCost;float;0.0;NA;thermal;NA;marginal.cost
Operating costs;spread-cost;spreadCost;float;0.0;NA;thermal;NA;spread.cost
Operating costs;fixed-cost;fixedCost;float;0.0;NA;thermal;NA;fixed.cost
Operating costs;startup-cost;startupCost;float;0.0;NA;thermal;NA;startup.cost
Operating costs;market-bid-cost;marketBidCost;float;0.0;NA;thermal;NA;market.bid.cost
Pollutant emission rates;co2;co2;float;0.0;NA;thermal;NA;co2
Timeseries generation;gen-ts;genTs;str;Use Global;NA;thermal;NA;gen.ts
Timeseries generation;volatility.forced;volatilityForced;float;0.0;NA;thermal;NA;volatility.forced
Timeseries generation;volatility.planned;volatilityPlanned;float;0.0;NA;thermal;NA;volatility.planned
Timeseries generation;law.forced;lawForced;str;Uniform;NA;thermal;NA;law.forced
Timeseries generation;law.planned;lawPlanned;str;Uniform;NA;thermal;NA;law.planned
General;efficiency;efficiency;float;0.0;8,6;storage;860;efficiency
General;enabled;enabled;bool;True;8,8;storage;880;enabled
General;group;group;str;;8,6;storage;860;group
General;initiallevel;initialLevel;float;0;8,6;storage;860;initiallevel
General;initiallevel;initialLevel;float;0.5;8,8;storage;880;initiallevel
General;initialleveloptim;initialLevelOptim;bool;False;8,6;storage;860;initialleveloptim
General;injectionnominalcapacity;injectionNominalCapacity;float;0.0;8,6;storage;860;injectionnominalcapacity
General;name;name;str;;8,6;storage;860;name
General;reservoircapacity;reservoirCapacity;float;0.0;8,6;storage;860;reservoircapacity
General;withdrawalnominalcapacity;withdrawalNominalCapacity;float;0.0;8,6;storage;860;withdrawalnominalcapacity
General;efficiencywithdrawal;efficiencyWithdrawal;float;1;9,2;storage;920;efficiencywithdrawal
General;penalize-variation-injection;penalizeVariationInjection;bool;False;9,2;storage;920;penalize.variation.injection
General;penalize-variation-withdrawal;penalizeVariationWithdrawal;bool;False;9,2;storage;920;penalize.variation.withdrawal
General;allow-overflow;allowOverflow;bool;False;9,3;storage;930;allow.overflow
