Defaut 8.0;Ajout 8.1;Ajout 8.2;Ajout 8.3;Ajout 8.4;Ajout 8.5;Ajout 8.6
OV. COST;RES generation by plant;Nul;DENS;Nul;LMR VIOL.;NH3 EMIS.
OP. COST;MISC. DTG 2;;Profit by plant;;SPIL. ENRG. CSR;SO2 EMIS.
MRG. PRICE;MISC. DTG 3;;BC. MARG. COST;;DTG MRG CSR;NOX EMIS.
CO2 EMIS.;MISC. DTG 4;;;;;PM2_5 EMIS.
DTG by plant;WIND OFFSHORE;;;;;PM5 EMIS.
BALANCE;WIND ONSHORE;;;;;PM10 EMIS.
ROW BAL.;SOLAR CONCRT.;;;;;NMVOC EMIS.
PSP;SOLAR PV;;;;;OP1 EMIS.
MISC. NDG;SOLAR ROOFT;;;;;OP2 EMIS.
LOAD;RENW. 1;;;;;OP3 EMIS.
H. ROR;RENW. 2;;;;;OP4 EMIS.
WIND;RENW. 3;;;;;OP5 EMIS.
SOLAR;RENW. 4;;;;;PSP_OPEN_INJECTION
NUCLEAR;;;;;;PSP_OPEN_WITHDRAWAL
LIGNITE;;;;;;PSP_OPEN_LEVEL
COAL;;;;;;PSP_CLOSED_INJECTION
GAS;;;;;;PSP_CLOSED_WITHDRAWAL
OIL;;;;;;PSP_CLOSED_LEVEL
MIX. FUEL;;;;;;PONDAGE_INJECTION
MISC. DTG;;;;;;PONDAGE_WITHDRAWAL
H. STOR;;;;;;PONDAGE_LEVEL
H. PUMP;;;;;;BATTERY_INJECTION
H. LEV;;;;;;BATTERY_WITHDRAWAL
H. INFL;;;;;;BATTERY_LEVEL
H. OVFL;;;;;;OTHER1_INJECTION
H. VAL;;;;;;OTHER1_WITHDRAWAL
H. COST;;;;;;OTHER1_LEVEL
UNSP. ENRG;;;;;;OTHER2_INJECTION
SPIL. ENRG;;;;;;OTHER2_WITHDRAWAL
LOLD;;;;;;OTHER2_LEVEL
LOLP;;;;;;OTHER3_INJECTION
AVL DTG;;;;;;OTHER3_WITHDRAWAL
DTG MRG;;;;;;OTHER3_LEVEL
MAX MRG;;;;;;OTHER4_INJECTION
NP COST;;;;;;OTHER4_WITHDRAWAL
NP Cost by plant;;;;;;OTHER4_LEVEL
NODU;;;;;;OTHER5_INJECTION
NODU by plant;;;;;;OTHER5_WITHDRAWAL
FLOW LIN.;;;;;;OTHER5_LEVEL
UCAP LIN.;;;;;;STS INJ BY PLANT
LOOP FLOW;;;;;;STS WITHDRAWAL BY PLANT
FLOW QUAD.;;;;;;STS LVL BY PLANT
CONG. FEE (ALG.);;;;;;
CONG. FEE (ABS.);;;;;;
MARG. COST;;;;;;
CONG. PROB +;;;;;;
CONG. PROB -;;;;;;
HURDLE COST;;;;;;
